2024-11-14 10:27:10 INFO SC001 (TO: TO_CO_TFTU000018, CO: CO_TFTU000018, PICK) driving to QC003; 31 s; 172693 mm
2024-11-14 10:27:10 INFO SC002 (TO: TO_CO_TFTU000023, CO: CO_TFTU000023, PICK) driving to QC003; 29 s; 162693 mm
2024-11-14 10:27:10 INFO SC003 (TO: TO_CO_TFTU000020, CO: CO_TFTU000020, PICK) driving to QC003; 27 s; 152693 mm
2024-11-14 10:27:10 INFO SC004 (TO: TO_CO_TFTU000001, CO: CO_TFTU000001, PICK) driving to QC001; 8 s; 42693 mm
2024-11-14 10:27:10 INFO SC005 (TO: TO_CO_TFTU000019, CO: CO_TFTU000019, PICK) driving to QC003; 24 s; 132693 mm
2024-11-14 10:27:10 INFO SC006 (TO: TO_CO_TFTU000010, CO: CO_TFTU000010, PICK) driving to QC005; 58 s; 322193 mm
2024-11-14 10:27:10 INFO SC007 (TO: TO_CO_TFTU000013, CO: CO_TFTU000013, PICK) driving to QC006; 74 s; 412637 mm
2024-11-14 10:27:10 INFO SC008 (TO: TO_CO_TFTU000011, CO: CO_TFTU000011, PICK) driving to QC005; 54 s; 302193 mm
2024-11-14 10:27:10 INFO SC009 (TO: TO_CO_TFTU000014, CO: CO_TFTU000014, PICK) driving to QC007; 89 s; 492227 mm
2024-11-14 10:27:10 INFO SC010 (TO: TO_CO_TFTU000008, CO: CO_TFTU000008, PICK) driving to QC003; 15 s; 82693 mm
2024-11-14 10:27:10 INFO SC011 (TO: TO_CO_TFTU000017, CO: CO_TFTU000017, PICK) driving to QC005; 49 s; 272193 mm
2024-11-14 10:27:10 INFO SC012 (TO: TO_CO_TFTU000006, CO: CO_TFTU000006, PICK) driving to QC003; 11 s; 62693 mm
2024-11-14 10:27:10 INFO SC013 (TO: TO_CO_TFTU000007, CO: CO_TFTU000007, PICK) driving to QC003; 9 s; 52693 mm
2024-11-14 10:27:10 INFO SC014 (TO: TO_CO_TFTU000005, CO: CO_TFTU000005, PICK) driving to QC003; 8 s; 42693 mm
2024-11-14 10:27:10 INFO SC015 (TO: TO_CO_TFTU000012, CO: CO_TFTU000012, PICK) driving to QC006; 60 s; 332637 mm
2024-11-14 10:27:10 INFO SC016 (TO: TO_CO_TFTU000003, CO: CO_TFTU000003, PICK) driving to QC006; 58 s; 322637 mm
2024-11-14 10:27:10 INFO SC017 (TO: TO_CO_TFTU000016, CO: CO_TFTU000016, PICK) driving to QC005; 38 s; 212193 mm
2024-11-14 10:27:10 INFO SC018 (TO: TO_CO_TFTU000009, CO: CO_TFTU000009, PICK) driving to QC007; 72 s; 402227 mm
2024-11-14 10:27:10 INFO SC019 (TO: TO_CO_TFTU000002, CO: CO_TFTU000002, PICK) driving to QC005; 35 s; 192193 mm
2024-11-14 10:27:10 INFO SC020 (TO: TO_CO_TFTU000004, CO: CO_TFTU000004, PICK) driving to QC006; 51 s; 282637 mm
2024-11-14 10:27:10 INFO SC004 (TO: TO_CO_TFTU000001, CO: CO_TFTU000001, PICK) working at QC001; 60 s
2024-11-14 10:27:10 INFO SC014 (TO: TO_CO_TFTU000005, CO: CO_TFTU000005, PICK) working at QC003; 60 s
2024-11-14 10:27:10 INFO SC013 (TO: TO_CO_TFTU000007, CO: CO_TFTU000007, PICK) working at QC003; 60 s
2024-11-14 10:27:34 INFO SC019 (TO: TO_CO_TFTU000002, CO: CO_TFTU000002, PICK) working at QC005; 60 s
2024-11-14 10:27:38 INFO SC017 (TO: TO_CO_TFTU000016, CO: CO_TFTU000016, PICK) working at QC005; 60 s
2024-11-14 10:27:51 INFO SC020 (TO: TO_CO_TFTU000004, CO: CO_TFTU000004, PICK) working at QC006; 60 s
2024-11-14 10:27:58 INFO SC016 (TO: TO_CO_TFTU000003, CO: CO_TFTU000003, PICK) working at QC006; 60 s
2024-11-14 10:28:07 INFO SC004 (TO: TO_CO_TFTU000001, CO: CO_TFTU000001, PICK) finished at QC001
2024-11-14 10:28:07 INFO SC004 (TO: TO_CO_TFTU000001, CO: CO_TFTU000001, DROP) driving to WS007.01; 92 s; 510685 mm
2024-11-14 10:28:07 INFO SC014 (TO: TO_CO_TFTU000005, CO: CO_TFTU000005, PICK) finished at QC003
2024-11-14 10:28:07 INFO SC014 (TO: TO_CO_TFTU000005, CO: CO_TFTU000005, DROP) driving to YARD001.59; 74 s; 412657 mm
2024-11-14 10:28:07 INFO SC012 (TO: TO_CO_TFTU000006, CO: CO_TFTU000006, PICK) waited at QC003; 56 s
2024-11-14 10:28:07 INFO SC012 (TO: TO_CO_TFTU000006, CO: CO_TFTU000006, PICK) working at QC003; 60 s
2024-11-14 10:28:09 INFO SC013 (TO: TO_CO_TFTU000007, CO: CO_TFTU000007, PICK) finished at QC003
2024-11-14 10:28:09 INFO SC013 (TO: TO_CO_TFTU000007, CO: CO_TFTU000007, DROP) driving to WS007.01; 74 s; 410685 mm
2024-11-14 10:28:09 INFO SC010 (TO: TO_CO_TFTU000008, CO: CO_TFTU000008, PICK) waited at QC003; 54 s
2024-11-14 10:28:09 INFO SC010 (TO: TO_CO_TFTU000008, CO: CO_TFTU000008, PICK) working at QC003; 60 s
2024-11-14 10:28:12 INFO SC018 (TO: TO_CO_TFTU000009, CO: CO_TFTU000009, PICK) working at QC007; 60 s
2024-11-14 10:28:28 INFO SC009 (TO: TO_CO_TFTU000014, CO: CO_TFTU000014, PICK) working at QC007; 60 s
2024-11-14 10:28:34 INFO SC019 (TO: TO_CO_TFTU000002, CO: CO_TFTU000002, PICK) finished at QC005
2024-11-14 10:28:34 INFO SC019 (TO: TO_CO_TFTU000002, CO: CO_TFTU000002, DROP) driving to WS012.01; 106 s; 586343 mm
2024-11-14 10:28:34 INFO SC011 (TO: TO_CO_TFTU000017, CO: CO_TFTU000017, PICK) waited at QC005; 45 s
2024-11-14 10:28:34 INFO SC011 (TO: TO_CO_TFTU000017, CO: CO_TFTU000017, PICK) working at QC005; 60 s
2024-11-14 10:28:38 INFO SC017 (TO: TO_CO_TFTU000016, CO: CO_TFTU000016, PICK) finished at QC005
2024-11-14 10:28:38 INFO SC017 (TO: TO_CO_TFTU000016, CO: CO_TFTU000016, DROP) driving to WS010.01; 88 s; 486343 mm
2024-11-14 10:28:38 INFO SC008 (TO: TO_CO_TFTU000011, CO: CO_TFTU000011, PICK) waited at QC005; 44 s
2024-11-14 10:28:38 INFO SC008 (TO: TO_CO_TFTU000011, CO: CO_TFTU000011, PICK) working at QC005; 60 s
2024-11-14 10:28:51 INFO SC020 (TO: TO_CO_TFTU000004, CO: CO_TFTU000004, PICK) finished at QC006
2024-11-14 10:28:51 INFO SC020 (TO: TO_CO_TFTU000004, CO: CO_TFTU000004, DROP) driving to YARD001.19; 67 s; 372637 mm
2024-11-14 10:28:51 INFO SC015 (TO: TO_CO_TFTU000012, CO: CO_TFTU000012, PICK) waited at QC006; 51 s
2024-11-14 10:28:51 INFO SC015 (TO: TO_CO_TFTU000012, CO: CO_TFTU000012, PICK) working at QC006; 60 s
2024-11-14 10:28:58 INFO SC016 (TO: TO_CO_TFTU000003, CO: CO_TFTU000003, PICK) finished at QC006
2024-11-14 10:28:58 INFO SC016 (TO: TO_CO_TFTU000003, CO: CO_TFTU000003, DROP) driving to WS015.01; 151 s; 836787 mm
2024-11-14 10:28:58 INFO SC007 (TO: TO_CO_TFTU000013, CO: CO_TFTU000013, PICK) waited at QC006; 44 s
2024-11-14 10:28:58 INFO SC007 (TO: TO_CO_TFTU000013, CO: CO_TFTU000013, PICK) working at QC006; 60 s
2024-11-14 10:29:07 INFO SC012 (TO: TO_CO_TFTU000006, CO: CO_TFTU000006, PICK) finished at QC003
2024-11-14 10:29:07 INFO SC012 (TO: TO_CO_TFTU000006, CO: CO_TFTU000006, DROP) driving to YARD001.36; 33 s; 182657 mm
2024-11-14 10:29:07 INFO SC005 (TO: TO_CO_TFTU000019, CO: CO_TFTU000019, PICK) waited at QC003; 103 s
2024-11-14 10:29:07 INFO SC005 (TO: TO_CO_TFTU000019, CO: CO_TFTU000019, PICK) working at QC003; 60 s
2024-11-14 10:29:09 INFO SC010 (TO: TO_CO_TFTU000008, CO: CO_TFTU000008, PICK) finished at QC003
2024-11-14 10:29:09 INFO SC010 (TO: TO_CO_TFTU000008, CO: CO_TFTU000008, DROP) driving to WS007.01; 74 s; 410685 mm
2024-11-14 10:29:09 INFO SC003 (TO: TO_CO_TFTU000020, CO: CO_TFTU000020, PICK) waited at QC003; 102 s
2024-11-14 10:29:09 INFO SC003 (TO: TO_CO_TFTU000020, CO: CO_TFTU000020, PICK) working at QC003; 60 s
2024-11-14 10:29:12 INFO SC018 (TO: TO_CO_TFTU000009, CO: CO_TFTU000009, PICK) finished at QC007
2024-11-14 10:29:12 INFO SC018 (TO: TO_CO_TFTU000009, CO: CO_TFTU000009, DROP) driving to WS016.01; 178 s; 986377 mm
2024-11-14 10:29:22 INFO SC014 (TO: TO_CO_TFTU000005, CO: CO_TFTU000005, DROP) working at YARD001.59; 61 s
2024-11-14 10:29:23 INFO SC013 (TO: TO_CO_TFTU000007, CO: CO_TFTU000007, DROP) working at WS007.01; 60 s
2024-11-14 10:29:28 INFO SC009 (TO: TO_CO_TFTU000014, CO: CO_TFTU000014, PICK) finished at QC007
2024-11-14 10:29:28 INFO SC009 (TO: TO_CO_TFTU000014, CO: CO_TFTU000014, DROP) driving to WS015.01; 169 s; 936377 mm
2024-11-14 10:29:34 INFO SC011 (TO: TO_CO_TFTU000017, CO: CO_TFTU000017, PICK) finished at QC005
2024-11-14 10:29:34 INFO SC011 (TO: TO_CO_TFTU000017, CO: CO_TFTU000017, DROP) driving to WS007.01; 61 s; 336343 mm
2024-11-14 10:29:34 INFO SC006 (TO: TO_CO_TFTU000010, CO: CO_TFTU000010, PICK) waited at QC005; 96 s
2024-11-14 10:29:34 INFO SC006 (TO: TO_CO_TFTU000010, CO: CO_TFTU000010, PICK) working at QC005; 60 s
2024-11-14 10:29:38 INFO SC008 (TO: TO_CO_TFTU000011, CO: CO_TFTU000011, PICK) finished at QC005
2024-11-14 10:29:38 INFO SC008 (TO: TO_CO_TFTU000011, CO: CO_TFTU000011, DROP) driving to WS013.01; 115 s; 636343 mm
2024-11-14 10:29:39 INFO SC004 (TO: TO_CO_TFTU000001, CO: CO_TFTU000001, DROP) working at WS007.01; 60 s
2024-11-14 10:29:40 INFO SC012 (TO: TO_CO_TFTU000006, CO: CO_TFTU000006, DROP) working at YARD001.36; 60 s
2024-11-14 10:29:51 INFO SC015 (TO: TO_CO_TFTU000012, CO: CO_TFTU000012, PICK) finished at QC006
2024-11-14 10:29:51 INFO SC015 (TO: TO_CO_TFTU000012, CO: CO_TFTU000012, DROP) driving to WS002.01; 52 s; 286787 mm
2024-11-14 10:29:58 INFO SC020 (TO: TO_CO_TFTU000004, CO: CO_TFTU000004, DROP) working at YARD001.19; 60 s
2024-11-14 10:29:58 INFO SC007 (TO: TO_CO_TFTU000013, CO: CO_TFTU000013, PICK) finished at QC006
2024-11-14 10:29:58 INFO SC007 (TO: TO_CO_TFTU000013, CO: CO_TFTU000013, DROP) driving to WS012.01; 124 s; 686787 mm
2024-11-14 10:30:05 INFO SC017 (TO: TO_CO_TFTU000016, CO: CO_TFTU000016, DROP) working at WS010.01; 60 s
2024-11-14 10:30:07 INFO SC005 (TO: TO_CO_TFTU000019, CO: CO_TFTU000019, PICK) finished at QC003
2024-11-14 10:30:07 INFO SC005 (TO: TO_CO_TFTU000019, CO: CO_TFTU000019, DROP) driving to YARD001.55; 67 s; 372657 mm
2024-11-14 10:30:07 INFO SC002 (TO: TO_CO_TFTU000023, CO: CO_TFTU000023, PICK) waited at QC003; 158 s
2024-11-14 10:30:07 INFO SC002 (TO: TO_CO_TFTU000023, CO: CO_TFTU000023, PICK) working at QC003; 60 s
2024-11-14 10:30:09 INFO SC003 (TO: TO_CO_TFTU000020, CO: CO_TFTU000020, PICK) finished at QC003
2024-11-14 10:30:09 INFO SC003 (TO: TO_CO_TFTU000020, CO: CO_TFTU000020, DROP) driving to YARD001.36; 33 s; 182657 mm
2024-11-14 10:30:09 INFO SC001 (TO: TO_CO_TFTU000018, CO: CO_TFTU000018, PICK) waited at QC003; 158 s
2024-11-14 10:30:09 INFO SC001 (TO: TO_CO_TFTU000018, CO: CO_TFTU000018, PICK) working at QC003; 60 s
2024-11-14 10:30:20 INFO SC019 (TO: TO_CO_TFTU000002, CO: CO_TFTU000002, DROP) working at WS012.01; 60 s
2024-11-14 10:30:22 INFO SC014 (TO: TO_CO_TFTU000005, CO: CO_TFTU000005, DROP) finished at YARD001.59
2024-11-14 10:30:22 INFO SC014 (TO: TO_CO_TFTU000038, CO: CO_TFTU000038, PICK) driving to QC007; 13 s; 72227 mm
2024-11-14 10:30:23 INFO SC013 (TO: TO_CO_TFTU000007, CO: CO_TFTU000007, DROP) finished at WS007.01
2024-11-14 10:30:23 INFO SC013 (TO: TO_CO_TFTU000046, CO: CO_TFTU000046, PICK) driving to QC003; 74 s; 410685 mm
2024-11-14 10:30:23 INFO SC010 (TO: TO_CO_TFTU000008, CO: CO_TFTU000008, DROP) working at WS007.01; 60 s
2024-11-14 10:30:34 INFO SC006 (TO: TO_CO_TFTU000010, CO: CO_TFTU000010, PICK) finished at QC005
2024-11-14 10:30:34 INFO SC006 (TO: TO_CO_TFTU000010, CO: CO_TFTU000010, DROP) driving to WS015.01; 133 s; 736343 mm
2024-11-14 10:30:35 INFO SC014 (TO: TO_CO_TFTU000038, CO: CO_TFTU000038, PICK) working at QC007; 60 s
2024-11-14 10:30:39 INFO SC004 (TO: TO_CO_TFTU000001, CO: CO_TFTU000001, DROP) finished at WS007.01
2024-11-14 10:30:39 INFO SC004 (TO: TO_CO_TFTU000047, CO: CO_TFTU000047, PICK) driving to QC005; 61 s; 336343 mm
2024-11-14 10:30:39 INFO SC011 (TO: TO_CO_TFTU000017, CO: CO_TFTU000017, DROP) waited at WS007.01; 4 s
2024-11-14 10:30:39 INFO SC011 (TO: TO_CO_TFTU000017, CO: CO_TFTU000017, DROP) working at WS007.01; 60 s
2024-11-14 10:30:40 INFO SC012 (TO: TO_CO_TFTU000006, CO: CO_TFTU000006, DROP) finished at YARD001.36
2024-11-14 10:30:40 INFO SC012 (TO: TO_CO_TFTU000024, CO: CO_TFTU000024, PICK) driving to QC005; 18 s; 102193 mm
2024-11-14 10:30:42 INFO SC003 (TO: TO_CO_TFTU000020, CO: CO_TFTU000020, DROP) working at YARD001.36; 60 s
2024-11-14 10:30:42 INFO SC015 (TO: TO_CO_TFTU000012, CO: CO_TFTU000012, DROP) working at WS002.01; 60 s
2024-11-14 10:30:58 INFO SC020 (TO: TO_CO_TFTU000004, CO: CO_TFTU000004, DROP) finished at YARD001.19
