TractorOrderId,Origin,Destination
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000043,QC006,WS010.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000056,QC004,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000043,QC006,WS010.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000051,QC005,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000056,QC004,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000068,QC005,YARD001.05
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000056,QC004,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000056,QC004,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000056,QC004,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000056,QC004,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000068,QC005,YARD001.05
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000066,QC004,YARD001.31
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000011,QC005,WS013.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000080,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000080,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000080,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000099,QC005,YARD001.05
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000113,QC005,YARD001.44
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000111,QC004,YARD001.31
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000113,QC005,YARD001.44
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000120,QC007,YARD001.36
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000113,QC005,YARD001.44
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000116,QC005,WS002.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000116,QC005,WS002.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000115,RAIL001.15,WS004.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000099,QC005,YARD001.05
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000106,QC005,WS010.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000105,QC005,WS010.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000102,QC006,WS008.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000120,QC007,YARD001.36
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000116,QC005,WS002.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000116,QC005,WS002.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000129,QC006,YARD001.03
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000133,QC005,YARD001.36
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000133,QC005,YARD001.36
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000129,QC006,YARD001.03
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000142,QC006,YARD001.50
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000129,QC006,YARD001.03
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000129,QC006,YARD001.03
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000137,QC003,YARD001.29
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000139,QC003,YARD001.27
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000141,QC004,YARD001.14
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000139,QC003,YARD001.27
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000119,QC006,WS008.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000131,RAIL001.20,WS003.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000137,QC003,YARD001.29
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000147,QC005,YARD001.51
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000147,QC005,YARD001.51
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000119,QC006,WS008.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000133,QC005,YARD001.36
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000135,QC006,WS008.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000135,QC006,WS008.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000110,RAIL001.109,WS014.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000142,QC006,YARD001.50
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000138,QC003,YARD001.38
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000138,QC003,YARD001.38
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000141,QC004,YARD001.14
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000119,QC006,WS008.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000135,QC006,WS008.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000088,QC005,WS013.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000131,RAIL001.20,WS003.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000147,QC005,YARD001.51
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000110,RAIL001.109,WS014.01
TO_CO_TFTU000049,QC006,WS015.01
TO_CO_TFTU000110,RAIL001.109,WS014.01
TO_CO_TFTU000160,QC003,WS004.01
TO_CO_TFTU000110,RAIL001.109,WS014.01
TO_CO_TFTU000161,QC005,WS008.01
TO_CO_TFTU000110,RAIL001.109,WS014.01
TO_CO_TFTU000161,QC005,WS008.01
TO_CO_TFTU000110,RAIL001.109,WS014.01
TO_CO_TFTU000048,QC006,WS014.01
TO_CO_TFTU000110,RAIL001.109,WS014.01
TO_CO_TFTU000048,QC006,WS014.01
TO_CO_TFTU000110,RAIL001.109,WS014.01
TO_CO_TFTU000049,QC006,WS015.01
TO_CO_TFTU000110,RAIL001.109,WS014.01
TO_CO_TFTU000166,QC003,YARD001.57
