Row,Timestamp,SC,TO,Action,Activity,Location,Duration
0,2024-11-14 10:27:10,SC016,TO_CO_TFTU000003,PICK,driving,start,58
1,2024-11-14 10:27:10,SC016,TO_CO_TFTU000003,PICK,driving,start,58
2,2024-11-14 10:27:58,SC016,TO_CO_TFTU000003,PICK,working,at QC006,60
3,2024-11-14 10:28:08,SC016,TO_CO_TFTU000003,PICK,arriving,at QC006,58
4,2024-11-14 10:28:58,SC016,TO_CO_TFTU000003,PICK,finished,at QC006,0
5,2024-11-14 10:28:58,SC016,TO_CO_TFTU000003,DROP,driving,at QC006,151
6,2024-11-14 10:31:28,SC016,TO_CO_TFTU000003,DROP,working,at WS015.01,60
7,2024-11-14 10:31:29,SC016,TO_CO_TFTU000003,DROP,arriving,at WS015.01,151
8,2024-11-14 10:32:28,SC016,TO_CO_TFTU000003,DROP,finished,at WS015.01,0
9,2024-11-14 10:32:28,SC016,TO_CO_TFTU000033,PICK,driving,at WS015.01,134
10,2024-11-14 10:34:42,SC016,TO_CO_TFTU000033,PICK,arriving,at RAIL001.81,134
11,2024-11-14 10:34:43,SC016,TO_CO_TFTU000033,PICK,working,at RAIL001.81,61
12,2024-11-14 10:35:43,SC016,TO_CO_TFTU000033,PICK,finished,at RAIL001.81,0
13,2024-11-14 10:35:43,SC016,TO_CO_TFTU000033,DROP,driving,at RAIL001.81,100
14,2024-11-14 10:37:23,SC016,TO_CO_TFTU000033,DROP,arriving,at WS003.01,100
15,2024-11-14 10:37:23,SC016,TO_CO_TFTU000033,DROP,working,at WS003.01,60
16,2024-11-14 10:38:23,SC016,TO_CO_TFTU000033,DROP,finished,at WS003.01,0
17,2024-11-14 10:38:23,SC016,TO_CO_TFTU000096,PICK,driving,at WS003.01,56
18,2024-11-14 10:39:19,SC016,TO_CO_TFTU000096,PICK,arriving,at QC003,56
19,2024-11-14 10:39:19,SC016,TO_CO_TFTU000096,PICK,working,at QC003,60
20,2024-11-14 10:40:19,SC016,TO_CO_TFTU000096,PICK,finished,at QC003,0
21,2024-11-14 10:40:19,SC016,TO_CO_TFTU000096,DROP,driving,at QC003,17
22,2024-11-14 10:40:36,SC016,TO_CO_TFTU000096,DROP,arriving,at YARD001.27,17
23,2024-11-14 10:40:36,SC016,TO_CO_TFTU000096,DROP,working,at YARD001.27,60
24,2024-11-14 10:41:36,SC016,TO_CO_TFTU000096,DROP,finished,at YARD001.27,0
25,2024-11-14 10:41:36,SC016,TO_CO_TFTU000097,PICK,driving,at YARD001.27,17
26,2024-11-14 10:41:53,SC016,TO_CO_TFTU000097,PICK,arriving,at QC003,17
27,2024-11-14 10:41:53,SC016,TO_CO_TFTU000097,PICK,working,at QC003,60
28,2024-11-14 10:42:53,SC016,TO_CO_TFTU000097,PICK,finished,at QC003,0
29,2024-11-14 10:42:53,SC016,TO_CO_TFTU000097,DROP,driving,at QC003,80
30,2024-11-14 10:44:13,SC016,TO_CO_TFTU000097,DROP,arriving,at YARD001.62,80
31,2024-11-14 10:44:13,SC016,TO_CO_TFTU000097,DROP,working,at YARD001.62,60
32,2024-11-14 10:45:13,SC016,TO_CO_TFTU000097,DROP,finished,at YARD001.62,0
33,2024-11-14 10:45:13,SC016,TO_CO_TFTU000130,PICK,driving,at YARD001.62,26
34,2024-11-14 10:45:39,SC016,TO_CO_TFTU000130,PICK,arriving,at QC006,26
35,2024-11-14 10:45:39,SC016,TO_CO_TFTU000130,PICK,working,at QC006,60
36,2024-11-14 10:46:39,SC016,TO_CO_TFTU000130,PICK,finished,at QC006,0
37,2024-11-14 10:46:39,SC016,TO_CO_TFTU000130,DROP,driving,at QC006,90
38,2024-11-14 10:48:09,SC016,TO_CO_TFTU000130,DROP,arriving,at YARD001.04,90
39,2024-11-14 10:48:10,SC016,TO_CO_TFTU000130,DROP,working,at YARD001.04,61
40,2024-11-14 10:49:10,SC016,TO_CO_TFTU000130,DROP,finished,at YARD001.04,0
41,2024-11-14 10:49:10,SC016,TO_CO_TFTU000109,PICK,driving,at YARD001.04,27
42,2024-11-14 10:49:37,SC016,TO_CO_TFTU000109,PICK,arriving,at RAIL001.02,27
43,2024-11-14 10:49:37,SC016,TO_CO_TFTU000109,PICK,working,at RAIL001.02,60
44,2024-11-14 10:50:37,SC016,TO_CO_TFTU000109,PICK,finished,at RAIL001.02,0
45,2024-11-14 10:50:37,SC016,TO_CO_TFTU000109,DROP,driving,at RAIL001.02,141
46,2024-11-14 10:52:58,SC016,TO_CO_TFTU000109,DROP,arriving,at WS011.01,141
47,2024-11-14 10:52:59,SC016,TO_CO_TFTU000109,DROP,working,at WS011.01,61
48,2024-11-14 10:53:59,SC016,TO_CO_TFTU000109,DROP,finished,at WS011.01,0
49,2024-11-14 10:53:59,SC016,TO_CO_TFTU000042,PICK,driving,at WS011.01,115
50,2024-11-14 10:55:54,SC016,TO_CO_TFTU000042,PICK,arriving,at QC006,115
51,2024-11-14 10:55:54,SC016,TO_CO_TFTU000042,PICK,working,at QC006,60
52,2024-11-14 10:56:54,SC016,TO_CO_TFTU000042,PICK,finished,at QC006,0
53,2024-11-14 10:56:54,SC016,TO_CO_TFTU000042,DROP,driving,at QC006,142
54,2024-11-14 10:59:16,SC016,TO_CO_TFTU000042,DROP,arriving,at WS014.01,142
55,2024-11-14 10:59:16,SC016,TO_CO_TFTU000042,DROP,working,at WS014.01,60
56,2024-11-14 11:00:16,SC016,TO_CO_TFTU000042,DROP,finished,at WS014.01,0
57,2024-11-14 11:00:16,SC016,TO_CO_TFTU000145,PICK,driving,at WS014.01,128
58,2024-11-14 11:02:24,SC016,TO_CO_TFTU000145,PICK,arriving,at RAIL001.76,128
59,2024-11-14 11:02:25,SC016,TO_CO_TFTU000145,PICK,working,at RAIL001.76,61
60,2024-11-14 11:03:25,SC016,TO_CO_TFTU000145,PICK,finished,at RAIL001.76,0
61,2024-11-14 11:03:25,SC016,TO_CO_TFTU000145,DROP,driving,at RAIL001.76,137
62,2024-11-14 11:05:42,SC016,TO_CO_TFTU000145,DROP,arriving,at WS015.01,137
63,2024-11-14 11:05:43,SC016,TO_CO_TFTU000145,DROP,working,at WS015.01,61
64,2024-11-14 11:06:43,SC016,TO_CO_TFTU000145,DROP,finished,at WS015.01,0
65,2024-11-14 11:06:43,SC016,TO_CO_TFTU000101,PICK,driving,at WS015.01,151
66,2024-11-14 11:09:14,SC016,TO_CO_TFTU000101,PICK,arriving,at QC006,151
67,2024-11-14 11:09:14,SC016,TO_CO_TFTU000101,PICK,working,at QC006,60
68,2024-11-14 11:10:14,SC016,TO_CO_TFTU000101,PICK,finished,at QC006,0
69,2024-11-14 11:10:14,SC016,TO_CO_TFTU000101,DROP,driving,at QC006,151
70,2024-11-14 11:12:45,SC016,TO_CO_TFTU000101,DROP,arriving,at WS015.01,151
71,2024-11-14 11:12:45,SC016,TO_CO_TFTU000101,DROP,working,at WS015.01,60
72,2024-11-14 11:13:45,SC016,TO_CO_TFTU000101,DROP,finished,at WS015.01,0
73,2024-11-14 11:13:45,SC016,TO_CO_TFTU000239,PICK,driving,at WS015.01,133
74,2024-11-14 11:15:58,SC016,TO_CO_TFTU000239,PICK,arriving,at QC005,133
75,2024-11-14 11:15:58,SC016,TO_CO_TFTU000239,PICK,working,at QC005,60
76,2024-11-14 11:16:58,SC016,TO_CO_TFTU000239,PICK,finished,at QC005,0
77,2024-11-14 11:16:58,SC016,TO_CO_TFTU000239,DROP,driving,at QC005,25
78,2024-11-14 11:17:23,SC016,TO_CO_TFTU000239,DROP,arriving,at WS001.01,25
79,2024-11-14 11:17:23,SC016,TO_CO_TFTU000239,DROP,working,at WS001.01,60
