SC,TO,Action,Location,timestamp_start,timestamp_end,duration_visit
SC004,TO_CO_TFTU000001,PICK,at QC001,2024-11-14 10:27:18,2024-11-14 10:28:07,0 days 00:00:49
SC014,TO_CO_TFTU000005,PICK,at QC003,2024-11-14 10:27:18,2024-11-14 10:28:07,0 days 00:00:49
SC013,TO_CO_TFTU000007,PICK,at QC003,2024-11-14 10:27:19,2024-11-14 10:28:09,0 days 00:00:50
SC012,TO_CO_TFTU000006,PICK,at QC003,2024-11-14 10:27:21,2024-11-14 10:29:07,0 days 00:01:46
SC010,TO_CO_TFTU000008,PICK,at QC003,2024-11-14 10:27:25,2024-11-14 10:29:09,0 days 00:01:44
SC005,TO_CO_TFTU000019,PICK,at QC003,2024-11-14 10:27:34,2024-11-14 10:30:07,0 days 00:02:33
SC003,TO_CO_TFTU000020,PICK,at QC003,2024-11-14 10:27:37,2024-11-14 10:30:09,0 days 00:02:32
SC002,TO_CO_TFTU000023,PICK,at QC003,2024-11-14 10:27:39,2024-11-14 10:31:07,0 days 00:03:28
SC001,TO_CO_TFTU000018,PICK,at QC003,2024-11-14 10:27:41,2024-11-14 10:31:09,0 days 00:03:28
SC019,TO_CO_TFTU000002,PICK,at QC005,2024-11-14 10:27:45,2024-11-14 10:28:34,0 days 00:00:49
SC017,TO_CO_TFTU000016,PICK,at QC005,2024-11-14 10:27:48,2024-11-14 10:28:38,0 days 00:00:50
SC011,TO_CO_TFTU000017,PICK,at QC005,2024-11-14 10:27:59,2024-11-14 10:29:34,0 days 00:01:35
SC020,TO_CO_TFTU000004,PICK,at QC006,2024-11-14 10:28:01,2024-11-14 10:28:51,0 days 00:00:50
SC008,TO_CO_TFTU000011,PICK,at QC005,2024-11-14 10:28:04,2024-11-14 10:29:38,0 days 00:01:34
SC006,TO_CO_TFTU000010,PICK,at QC005,2024-11-14 10:28:08,2024-11-14 10:30:34,0 days 00:02:26
SC016,TO_CO_TFTU000003,PICK,at QC006,2024-11-14 10:28:08,2024-11-14 10:28:58,0 days 00:00:50
SC015,TO_CO_TFTU000012,PICK,at QC006,2024-11-14 10:28:10,2024-11-14 10:29:51,0 days 00:01:41
SC018,TO_CO_TFTU000009,PICK,at QC007,2024-11-14 10:28:22,2024-11-14 10:29:12,0 days 00:00:50
SC007,TO_CO_TFTU000013,PICK,at QC006,2024-11-14 10:28:24,2024-11-14 10:29:58,0 days 00:01:34
SC009,TO_CO_TFTU000014,PICK,at QC007,2024-11-14 10:28:39,2024-11-14 10:29:28,0 days 00:00:49
SC014,TO_CO_TFTU000005,DROP,at YARD001.59,2024-11-14 10:29:21,2024-11-14 10:30:22,0 days 00:01:01
SC013,TO_CO_TFTU000007,DROP,at WS007.01,2024-11-14 10:29:23,2024-11-14 10:30:23,0 days 00:01:00
SC004,TO_CO_TFTU000001,DROP,at WS007.01,2024-11-14 10:29:39,2024-11-14 10:30:39,0 days 00:01:00
SC012,TO_CO_TFTU000006,DROP,at YARD001.36,2024-11-14 10:29:40,2024-11-14 10:30:40,0 days 00:01:00
SC020,TO_CO_TFTU000004,DROP,at YARD001.19,2024-11-14 10:29:58,2024-11-14 10:30:58,0 days 00:01:00
SC017,TO_CO_TFTU000016,DROP,at WS010.01,2024-11-14 10:30:06,2024-11-14 10:31:05,0 days 00:00:59
SC019,TO_CO_TFTU000002,DROP,at WS012.01,2024-11-14 10:30:20,2024-11-14 10:31:20,0 days 00:01:00
SC010,TO_CO_TFTU000008,DROP,at WS007.01,2024-11-14 10:30:23,2024-11-14 10:31:23,0 days 00:01:00
SC011,TO_CO_TFTU000017,DROP,at WS007.01,2024-11-14 10:30:35,2024-11-14 10:31:40,0 days 00:01:05
SC014,TO_CO_TFTU000038,PICK,at QC007,2024-11-14 10:30:35,2024-11-14 10:31:35,0 days 00:01:00
SC003,TO_CO_TFTU000020,DROP,at YARD001.36,2024-11-14 10:30:42,2024-11-14 10:31:42,0 days 00:01:00
SC015,TO_CO_TFTU000012,DROP,at WS002.01,2024-11-14 10:30:43,2024-11-14 10:31:42,0 days 00:00:59
SC012,TO_CO_TFTU000024,PICK,at QC005,2024-11-14 10:30:58,2024-11-14 10:31:59,0 days 00:01:01
SC020,TO_CO_TFTU000034,PICK,at QC003,2024-11-14 10:31:11,2024-11-14 10:32:11,0 days 00:01:00
SC005,TO_CO_TFTU000019,DROP,at YARD001.55,2024-11-14 10:31:14,2024-11-14 10:32:14,0 days 00:01:00
SC016,TO_CO_TFTU000003,DROP,at WS015.01,2024-11-14 10:31:29,2024-11-14 10:32:28,0 days 00:00:59
SC008,TO_CO_TFTU000011,DROP,at WS013.01,2024-11-14 10:31:33,2024-11-14 10:32:32,0 days 00:00:59
SC013,TO_CO_TFTU000046,PICK,at QC003,2024-11-14 10:31:37,2024-11-14 10:32:37,0 days 00:01:00
SC004,TO_CO_TFTU000047,PICK,at QC005,2024-11-14 10:31:40,2024-11-14 10:32:40,0 days 00:01:00
SC003,TO_CO_TFTU000032,PICK,at QC005,2024-11-14 10:32:00,2024-11-14 10:33:01,0 days 00:01:01
SC007,TO_CO_TFTU000013,DROP,at WS012.01,2024-11-14 10:32:02,2024-11-14 10:33:01,0 days 00:00:59
SC018,TO_CO_TFTU000009,DROP,at WS016.01,2024-11-14 10:32:10,2024-11-14 10:33:10,0 days 00:01:00
SC015,TO_CO_TFTU000051,PICK,at QC005,2024-11-14 10:32:16,2024-11-14 10:33:41,0 days 00:01:25
SC009,TO_CO_TFTU000014,DROP,at WS015.01,2024-11-14 10:32:17,2024-11-14 10:33:17,0 days 00:01:00
SC005,TO_CO_TFTU000027,PICK,at QC006,2024-11-14 10:32:27,2024-11-14 10:33:28,0 days 00:01:01
SC017,TO_CO_TFTU000029,PICK,at RAIL001.76,2024-11-14 10:32:37,2024-11-14 10:33:38,0 days 00:01:01
SC011,TO_CO_TFTU000052,PICK,at QC005,2024-11-14 10:32:41,2024-11-14 10:34:01,0 days 00:01:20
SC010,TO_CO_TFTU000026,PICK,at QC006,2024-11-14 10:32:42,2024-11-14 10:33:42,0 days 00:01:00
SC006,TO_CO_TFTU000010,DROP,at WS015.01,2024-11-14 10:32:47,2024-11-14 10:33:47,0 days 00:01:00
SC020,TO_CO_TFTU000034,DROP,at WS002.01,2024-11-14 10:32:58,2024-11-14 10:33:58,0 days 00:01:00
SC012,TO_CO_TFTU000024,DROP,at WS007.01,2024-11-14 10:33:00,2024-11-14 10:34:00,0 days 00:01:00
SC019,TO_CO_TFTU000056,PICK,at QC004,2024-11-14 10:33:01,2024-11-14 10:34:01,0 days 00:01:00
SC014,TO_CO_TFTU000038,DROP,at WS004.01,2024-11-14 10:33:03,2024-11-14 10:34:03,0 days 00:01:00
SC001,TO_CO_TFTU000018,DROP,at WS012.01,2024-11-14 10:33:08,2024-11-14 10:34:08,0 days 00:01:00
