Timestamp,SC,TO,Action,Activity,Location,Duration
2024-11-14 10:27:10,SC001,TO_CO_TFTU000018,PICK,driving,to QC003,31
2024-11-14 10:27:10,SC002,TO_CO_TFTU000023,PICK,driving,to QC003,29
2024-11-14 10:27:10,SC003,TO_CO_TFTU000020,PICK,driving,to QC003,27
2024-11-14 10:27:10,SC004,TO_CO_TFTU000001,PICK,driving,to QC001,8
2024-11-14 10:27:10,SC005,TO_CO_TFTU000019,PICK,driving,to QC003,24
2024-11-14 10:27:10,SC006,TO_CO_TFTU000010,PICK,driving,to QC005,58
2024-11-14 10:27:10,SC007,TO_CO_TFTU000013,PICK,driving,to QC006,74
2024-11-14 10:27:10,SC008,TO_CO_TFTU000011,PICK,driving,to QC005,54
2024-11-14 10:27:10,SC009,TO_CO_TFTU000014,PICK,driving,to QC007,89
2024-11-14 10:27:10,SC010,TO_CO_TFTU000008,PICK,driving,to QC003,15
2024-11-14 10:27:10,SC011,TO_CO_TFTU000017,PICK,driving,to QC005,49
2024-11-14 10:27:10,SC012,TO_CO_TFTU000006,PICK,driving,to QC003,11
2024-11-14 10:27:10,SC013,TO_CO_TFTU000007,PICK,driving,to QC003,9
2024-11-14 10:27:10,SC014,TO_CO_TFTU000005,PICK,driving,to QC003,8
2024-11-14 10:27:10,SC015,TO_CO_TFTU000012,PICK,driving,to QC006,60
2024-11-14 10:27:10,SC016,TO_CO_TFTU000003,PICK,driving,to QC006,58
2024-11-14 10:27:10,SC017,TO_CO_TFTU000016,PICK,driving,to QC005,38
2024-11-14 10:27:10,SC018,TO_CO_TFTU000009,PICK,driving,to QC007,72
2024-11-14 10:27:10,SC019,TO_CO_TFTU000002,PICK,driving,to QC005,35
2024-11-14 10:27:10,SC020,TO_CO_TFTU000004,PICK,driving,to QC006,51
2024-11-14 10:27:10,SC004,TO_CO_TFTU000001,PICK,working,at QC001,60
2024-11-14 10:27:10,SC014,TO_CO_TFTU000005,PICK,working,at QC003,60
2024-11-14 10:27:10,SC013,TO_CO_TFTU000007,PICK,working,at QC003,60
2024-11-14 10:27:18,SC004,TO_CO_TFTU000001,PICK,arriving,at QC001,8
2024-11-14 10:27:18,SC014,TO_CO_TFTU000005,PICK,arriving,at QC003,8
2024-11-14 10:27:19,SC013,TO_CO_TFTU000007,PICK,arriving,at QC003,9
2024-11-14 10:27:21,SC012,TO_CO_TFTU000006,PICK,arriving,at QC003,11
2024-11-14 10:27:25,SC010,TO_CO_TFTU000008,PICK,arriving,at QC003,15
2024-11-14 10:27:34,SC005,TO_CO_TFTU000019,PICK,arriving,at QC003,24
2024-11-14 10:27:34,SC019,TO_CO_TFTU000002,PICK,working,at QC005,60
2024-11-14 10:27:37,SC003,TO_CO_TFTU000020,PICK,arriving,at QC003,27
2024-11-14 10:27:38,SC017,TO_CO_TFTU000016,PICK,working,at QC005,60
2024-11-14 10:27:39,SC002,TO_CO_TFTU000023,PICK,arriving,at QC003,29
